ID,lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
2570,Y,4,7,5,5,5,9,6,5,4,7,8,7,3,9,8,4
2571,Y,7,6,6,9,3,6,12,2,3,10,10,6,4,11,5,7
2575,C,7,10,8,8,5,5,8,6,7,12,9,12,3,11,4,6
2577,A,2,3,4,4,2,8,3,1,2,7,2,8,2,6,2,7
2602,A,3,10,6,7,2,7,3,3,3,7,1,8,3,6,3,7
2604,Y,2,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
2605,Y,5,5,7,8,8,8,8,7,3,7,7,8,6,10,6,4
2619,Y,7,9,6,5,3,4,7,5,3,9,11,6,4,10,3,4
2626,A,2,3,3,1,1,8,2,2,1,7,2,8,2,6,2,7
2631,C,7,9,7,7,4,4,7,5,7,11,9,14,3,10,4,7
2638,Y,5,8,5,6,3,5,8,0,8,9,9,6,1,10,3,4
2639,A,5,10,7,8,4,9,2,3,3,8,1,8,2,7,4,8
2658,C,3,9,4,6,3,5,8,8,7,10,8,12,2,11,4,10
2660,A,2,6,4,4,1,7,5,3,1,6,0,8,2,7,1,7
2674,Y,6,8,6,6,2,2,12,4,6,13,12,6,1,11,1,6
2690,Y,4,7,6,10,9,9,7,6,3,7,7,8,7,10,6,4
2702,C,7,10,7,8,5,5,7,5,7,12,8,13,4,9,5,6
2707,A,7,9,9,8,8,5,8,3,5,7,8,10,8,8,4,8
2718,C,4,8,5,6,3,5,8,6,6,8,8,15,3,10,4,10
2727,Y,7,6,5,9,4,7,11,2,3,8,10,5,3,9,5,7
2740,Y,3,9,5,6,1,6,12,2,3,9,12,8,1,10,0,8
2742,A,2,4,4,5,2,7,4,3,1,7,1,8,2,7,2,8
2744,A,4,7,5,5,3,8,2,2,2,6,2,8,2,6,3,6
2747,A,4,6,6,5,5,8,8,2,4,7,8,8,5,8,4,6
2752,A,4,6,5,6,5,7,9,2,4,7,7,9,7,7,3,8
2756,A,5,7,6,5,6,8,7,7,4,7,6,8,2,8,8,3
2788,C,2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10
2793,C,3,6,5,5,4,5,6,3,4,7,6,11,4,10,7,8
2799,C,5,10,6,8,2,6,7,7,11,6,6,13,1,8,4,8
2801,A,3,9,4,6,3,9,5,2,0,8,1,8,2,6,1,8
2802,A,4,7,5,5,5,7,7,6,3,7,6,8,2,7,8,3
2805,Y,6,11,9,8,5,6,9,1,7,6,12,9,2,11,2,8
2815,A,4,9,4,4,3,10,3,4,2,10,5,11,5,4,4,10
2853,C,8,15,5,8,3,7,7,8,8,12,7,10,2,9,5,9
2854,C,3,3,4,4,1,6,7,7,9,7,6,13,1,9,4,9
2867,A,1,1,2,1,1,7,3,2,1,6,2,8,1,6,1,7
2872,Y,6,9,5,4,2,5,9,4,4,11,9,6,4,10,4,4
2880,C,6,12,5,6,4,8,6,4,3,9,8,11,4,9,7,11
2886,Y,1,1,2,2,1,7,11,1,6,7,11,8,1,11,1,8
2887,Y,5,7,6,9,9,8,8,7,3,7,7,8,9,11,6,4
2899,A,6,11,8,8,8,8,9,8,5,6,6,8,3,7,8,4
2908,Y,3,5,4,7,6,7,9,3,2,7,7,8,3,11,7,6
2913,Y,6,9,5,4,3,6,8,3,4,10,8,5,3,10,4,4
2921,A,4,5,7,7,2,7,6,3,0,7,0,8,3,7,1,8
2924,C,2,1,2,1,0,6,7,6,9,7,6,14,0,8,4,10
2929,Y,4,5,5,8,7,10,8,5,3,7,7,7,6,10,8,4
2936,Y,5,6,6,9,6,10,12,5,4,6,7,7,6,11,8,6
2938,A,2,8,4,5,2,6,5,3,1,6,1,8,2,7,2,7
2941,Y,7,9,7,7,3,4,11,2,8,12,11,5,1,10,2,4
2943,C,5,4,6,7,2,5,7,7,11,7,5,12,1,9,4,8
2956,C,1,3,2,1,1,5,9,4,6,11,9,11,1,9,2,8
2957,C,4,9,5,6,4,5,8,7,6,9,8,14,2,10,4,10
2983,Y,4,7,6,5,3,8,10,1,6,4,11,9,2,11,2,8
2986,A,5,11,8,8,5,11,2,3,3,9,2,9,5,7,4,9
2987,C,1,0,2,0,0,7,7,6,8,7,6,13,0,8,4,10
2989,A,3,6,5,5,4,9,7,3,5,7,8,6,4,10,3,5
2996,A,1,3,2,1,1,9,3,2,1,8,2,9,1,6,0,8
3002,A,3,7,5,5,3,11,2,3,2,10,2,9,2,6,3,8
3004,Y,3,7,5,5,2,7,10,1,2,7,12,8,1,11,0,8
